id,target
1,342035.1747328248
2,128183.25899086535
3,179688.7201275518
4,271578.23489156115
5,131012.21190099714
6,156949.48340582152
7,198172.01268741186
8,119480.025770015
9,137360.9862480766
10,303874.54079451517
11,221806.02400479684
12,121586.70353283174
13,153985.9800067505
14,148223.73347131483
15,94637.35789064942
16,126925.56040315758
17,113340.41266189516
18,191164.74901992502
19,198663.81986970556
20,129785.1746298036
21,149139.8503649224
22,121472.51622095812
23,185527.96738195623
24,261763.7986673809
25,185890.03160372988
26,353640.2980823538
27,156148.81195204385
28,241611.52628861563
29,138337.3633428386
30,66606.54196672358
31,112621.7260112735
32,127340.69639374674
33,191520.81687016546
34,182947.00561907634
35,494141.7941808725
36,130697.04007900422
37,152096.86988196266
38,224877.84487821133
39,192393.1040130325
40,426304.09323826
41,244476.15406317482
42,100725.41599279549
43,75574.20684821432
44,136618.53578769788
45,201286.86151911336
46,161431.2502548564
47,210013.66156394166
48,102444.92824137858
49,178712.69647209454
50,123900.1307812756
51,159268.6136124417
52,251667.16142703826
53,169693.2086538014
54,193345.4597026668
55,232878.84721276545
56,115756.04531462763
57,304163.8500088069
58,116358.73848624295
59,103420.6794988291
60,144176.78082977343
61,146092.35594998047
62,237319.35014705476
63,108448.66431107142
64,238448.1892635563
65,230662.74042561132
66,121679.43519712733
67,175716.69356541437
68,209042.77881621468
69,313514.1776018731
70,114896.52576578893
71,110943.66218105226
72,254832.51594580914
73,141694.5188493054
74,130692.77923952742
75,214758.07974209083
76,115084.50958884163
77,67185.43518284362
78,145668.19153966318
79,148330.9010678521
80,138477.32609241523
81,103032.18294664241
82,205466.02805495737
83,184191.19091570226
84,235278.69643344326
85,140962.8040410239
86,103472.10207610477
87,93820.35039610675
88,138639.51619072267
89,119370.81383776269
90,195373.38474669022
91,100891.34685746967
92,192655.3781102149
93,160957.38914677154
94,138764.50661340053
95,175275.30809912077
96,586906.453069486
97,174472.94264133117
98,140015.33734301996
99,239175.89333167026
100,209998.33143715654
101,238604.1227804805
102,188612.5422576366
103,127542.31934474604
104,189363.4320220048
105,345164.6639083739
106,219226.76235257153
107,87627.58862984371
108,134933.76118363137
109,173020.20351533833
110,403204.5071701972
111,121807.36615573693
112,197541.55532126283
113,163937.83610845235
114,123148.40857552888
115,128429.27141784443
116,115963.21571704722
117,199902.39000818372
118,342706.8444220026
119,203491.98749537775
120,199582.375017099
121,372906.5669809246
122,178020.02151687612
123,109107.24709909083
124,135340.34882946877
125,272206.988494226
126,260122.5289808352
127,261035.7847942168
128,216482.39663303614
129,313376.0980751694
130,130661.46492673611
131,235118.3498642977
132,155572.44528061003
133,346111.5449773072
134,284763.30832042533
135,188932.76935444764
136,188304.9804402288
137,230228.7559343114
138,147634.98588406006
139,293691.83255028486
140,132275.1370122997
141,179872.35839592485
142,128050.80260609365
143,115414.24680960919
144,201368.17975000298
145,125503.6046630502
146,204334.81776843156
147,192047.01185842225
148,42644.5804085079
149,377197.03778437263
150,204856.4086907815
151,112830.09156844331
152,124067.55136884065
153,130807.53474687459
154,192326.6689300346
155,242636.93124092658
156,200877.84844049346
157,145182.77142121518
158,419735.4054218663
159,179188.93574371733
160,178989.65953975846
161,197671.78683423437
162,170033.80115551114
163,112082.18525604033
164,244061.4864859973
165,140883.11211811771
166,138502.03955845142
167,183963.70073969252
168,265738.3710702234
169,420504.6473915929
170,154994.7981277032
171,736008.7360610971
172,248859.84522992527
173,308544.7723726379
174,102102.41177294585
175,184805.9645115219
176,128887.81298851229
177,34789.41032582438
178,255901.59349522236
179,118980.50553948311
180,65595.50105994381
181,131871.03070300902
182,107507.35377253704
183,167411.41647940446
184,181732.53207660315
185,176440.90563252632
186,176789.0128609565
187,235971.3236374585
188,279557.0891306283
189,126992.89554453718
190,195057.76071830434
191,351512.99940780824
192,116601.55768593066
193,191787.5288530272
194,145360.59768813505
195,151312.6446681609
196,431697.57952516817
197,283452.01276676176
198,130839.37146306419
199,131922.4678087533
200,188208.13718026882
201,105613.45470987758
202,245128.441392965
203,178038.22668974428
204,105354.47171158183
205,182425.51084520604
206,180414.62906428374
207,168006.13276697375
208,232779.8271101025
209,205390.15144301925
210,277820.37452742376
211,345487.8879706409
212,143311.05867127856
213,180989.27593477225
214,361197.6586449201
215,138256.89293715428
216,101381.42155403229
217,183036.81612677203
218,176034.26780159367
219,141754.3666883316
220,309215.6945049225
221,220304.79750100983
222,187223.6072964861
223,344213.45265833347
224,185653.23466836923
225,175245.6602464804
226,143184.70418608945
227,120955.29844606214
228,198500.87950589662
229,238350.41246341812
230,115813.55557499854
231,221315.84501149165
232,137140.95599120684
233,178681.42166538586
234,406398.8541496371
235,258192.05827919175
236,98861.98985361785
237,232720.46554647395
238,148007.4964347621
239,144195.24029643377
240,207953.22453312302
241,109996.25835442422
242,236315.5419113397
243,109107.24709909083
244,143961.27712908684
245,130667.7453206917
246,267434.02040161163
247,138512.31717048434
248,125329.82576796979
249,210737.65081106476
250,136068.91164393845
251,289548.63333566196
252,193804.89613454507
253,106721.0998685195
254,140230.79865311514
255,632287.6846798344
256,161690.1903908064
257,130928.49255253277
258,118612.79440343026
259,340715.67497776425
260,209758.99770502653
261,149153.3286108903
262,230287.86601500204
263,167168.70886503567
264,256827.6891244292
265,165811.8815852331
266,127447.09178166033
267,242579.3940354325
268,152845.6011187525
269,117039.89110018467
270,335657.6034399311
271,352621.0522408542
272,158851.4970194976
273,194823.6339862806
274,71975.54306892777
275,146978.24490270726
276,186266.7186675166
277,147395.45289332006
278,98415.14416266714
279,172473.5252676386
280,188656.41266710497
281,523128.4072604602
282,287982.1450043508
283,124333.61550989965
